id	name	c_10	h_index	Q	paper	citations	IndexBestPaper	TitleBestPaper	JournalBestPaper	YearBestPaper
55524	Boris Castel	2.72	6	1.01	43	0 10 1 5 0 15 3 0 3 0 0 0 1 0 0 2 0 1 0 4 3 2 0 3 2 1 3 2 0 2 14 2 1 7 0 1 0 4 2 0 3 13	6	Odd Co Isotopes in a Unified Vibrational Model	PRC	1971
55602	Michael C. Cross	32.9	21	3.9	49	0 20 7 13 42 4 9 10 5 18 2 21 22 114 26 3 17 5 4 16 18 4 16 1 52 3 1 48 12 10 41 3 7 25 4 19 13 863 4 19 33 11 2 3 4 2 31 4	38	Pattern formation outside of equilibrium	RMP	1993
55617	Yatendra Pal Varshni	3.24	8	1.24	49	5 3 0 0 6 6 0 5 1 2 1 17 1 3 4 6 1 6 2 0 0 0 1 10 3 2 1 0 3 1 11 10 4 4 0 5 4 3 5 4 3 0 4 0 5 3 1 1	12	Energies of s Eigenstates in a Static Screened Coulomb Potential	PRA	1971
55666	L. I. Schiff	9.84	20	2.33	66	8 9 14 6 10 9 5 3 6 12 6 0 0 0 2 0 3 4 3 2 0 0 17 0 2 5 5 1 12 15 0 0 38 4 47 5 21 1 3 12 6 36 27 12 23 36 6 8 2 3 5 7 2 17 11 70 0 10 18 9 7 7 16 6 9	56	Theory of the Electromagnetic Form Factors of H^{3} and He^{3}	PR	1964
55687	Alfred T. Wu	2.29	3	0.95	17	9 16 2 2 0 0 6 0 1 1 0 1 0 0 1 0	2	Intermediate Bosons: Production Cross Section from Neutrinos	PRL	1964
55690	Ranabir Dutt	2.56	5	1.11	25	5 3 1 6 0 3 3 0 0 0 0 0 1 11 9 5 4 0 4 0 2 3 1 1	14	Shifted large-N expansion for the bound states of the Hellmann potential	PRA	1986
55979	Michel A. Van Hove	9.33	13	2.69	42	1 14 5 3 11 4 1 31 5 11 3 7 3 8 5 9 3 31 8 7 15 2 0 5 8 7 18 0 4 7 7 2 5 2 5 12 28 1 12 4 31	43	Fivefold surface of quasicrystalline AlPdMn: Structure determination using low-energy-electron diffraction	PRB	1998
56094	E. E. Gross	8.3	14	2.14	36	5 26 49 3 11 4 4 1 2 3 5 2 8 21 4 21 11 2 12 2 1 10 5 7 10 14 5 8 13 23 0 36 36 10 0	3	Polarization and Differential Cross Section for Elastic Scattering of 40-MeV Protons. II	PR	1967
56099	Jürgen Kuhl	19.0	20	4.37	40	5 26 36 3 29 67 38 15 51 9 28 4 56 32 32 16 16 19 4 21 4 18 7 25 52 3 7 2 2 8 43 0 25 7 37 18 7 4 18	6	Ultrafast Phase Relaxation of Excitons via Exciton-Exciton and Exciton-Electron Collisions	PRL	1986
56151	Zvi Ovadyahu	12.1	13	3.16	26	2 6 10 13 7 1 6 0 22 39 7 19 3 26 5 4 16 3 8 3 22 12 4 10 28	26	Evidence for Interactions in Nonergodic Electronic Transport	PRL	1998
56225	Stuart Raby	18.9	16	3.87	32	7 9 34 0 5 14 6 16 0 0 2 13 10 4 6 1 62 56 11 1 15 27 59 20 30 8 82 20 17 33 14	27	Experimental Signatures of Low Energy Gauge-Mediated Supersymmetry Breaking	PRL	1996
56245	D. C. Peaslee	6.33	13	1.25	56	30 0 91 0 20 1 1 1 3 6 2 6 4 0 0 0 13 13 2 3 19 22 26 18 17 3 1 14 1 2 4 5 5 0 0 0 0 2 1 0 2 1 0 0 0 1 0 1 1 8 3 0 0 0 2	3	On the Scattering and Absorption of Particles by Atomic Nuclei	PR	1947
